Kecamatan;KELURAHAN;Y1;Y2;Y3;Y4;Y5;Y6;Y7;Y8;Y9;Y10;Y11;Y12
KECHARJAMUKTI;ARGASUNYA;46,15;87,02;66,91;97,53;90,97;63,88;18;0,55;77,15;19,4;100;10,88
KECHARJAMUKTI;KALIJAGA;21,98;73,98;74,04;82,63;92,37;40,91;87,37;0,13;57,65;17,22;100;14,64
KECHARJAMUKTI;HARJAMUKTI;50;100;78,65;94,25;96,86;100;80,76;5,62;61,8;18,16;93,59;14,21
KECHARJAMUKTI;KECAPI;100;92,41;77,07;96,18;96,24;97,67;80,04;0,11;56,03;16,82;26,14;19,27
KECHARJAMUKTI;LARANGAN;100;81,65;91,3;85,94;96,28;27,35;80,99;0,24;41,82;15,5;79,45;23,76
KECLEMAHWUNGKUK;PEGAMBIRAN;55,81;98,22;56,08;80,25;89,66;92,47;80,13;0,31;62,97;16,79;49,53;11,21
KECLEMAHWUNGKUK;KESEPUHAN;62,5;99,09;81,71;91,47;88,23;100;74,31;0,36;63,81;12,3;73,77;12,02
KECLEMAHWUNGKUK;LEMAHWUNGKUK;87,5;78;60,87;84;90,28;96,25;88,85;5,77;66,78;14,31;81,25;12,65
KECLEMAHWUNGKUK;PANJUNAN;61,11;100;73,86;88,67;90,88;65,98;95,12;8,49;62,18;14,34;34,15;8,18
KECPEKALIPAN;JAGASATRU;71,05;100;75,38;94,7;90,21;41,1;59,03;0,56;68,83;14,72;87,76;14,29
KECPEKALIPAN;PULASAREN;12,5;89,19;64;91,58;94,33;41,79;98,33;0,61;64,56;15,96;47,5;13,67
KECPEKALIPAN;PEKALIPAN;100;66,25;70,97;83,02;93,28;36,07;100;13,88;61,19;18;70;8,27
KECPEKALIPAN;PEKALANGAN;100;83,87;73,08;92,06;92,52;28,26;98,18;1,28;68,47;17,6;63,16;11,36
KECKESAMBI;KARYAMULYA;38,46;70,76;73,95;92,74;94,03;78,63;77,2;0,21;59,05;14,66;91,09;16,53
KECKESAMBI;SUNYARAGI;100;99,43;85,48;96,94;94,92;79,17;96,14;4,11;58,67;16,11;75;14,79
KECKESAMBI;DRAJAT;50;69,09;60,47;69,17;87,99;42,37;76,14;0,32;57,25;15,67;64;17,52
KECKESAMBI;KESAMBI;81,82;87,41;66,67;90,28;94,48;76,47;98,11;13,89;53,22;18,34;30,56;17,01
KECKESAMBI;PEKIRINGAN;84,62;100;84,31;86,14;92,74;100;100;1,14;50,88;13,53;93,22;11,45
KECKEJAKSAN;KEJAKSAN;56,25;78,65;62,16;87,88;88,99;28,57;89,7;14,83;56,81;15,88;67,65;4,3
KECKEJAKSAN;KEBONBARU;63,64;100;80;94,39;93,93;96,2;87,25;0,32;53,71;14,79;57,38;5,48
KECKEJAKSAN;SUKAPURA;88,46;100;72,16;98,51;97,23;100;86,21;0,29;52,9;14,89;35,05;5,96
KECKEJAKSAN;KESENDEN;100;100;80,95;99,57;95,61;28,57;60,58;0,49;54,27;12,34;77,05;3,37
